REGISTRATION ID,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,SECOND LANGUAGE,SECOND LANGUAGE PROFICIENCY,SCHOOL NUMBER,SCHOOL STATUS,HIGHEST GRADE COMPLETED,PRIORITY MATCHING STATUS,
91436,14,21214,YES,"SOUTH, NORTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,RECREATION AND SPORTS,CUSTODIAL,OFFICE EQUIPMENT,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,375,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
91439,18,21212,YES,"DOWNTOWN, WEST",NO,YES,YES,CAMP COUNSELOR,CLERICAL OFFICE WORK,"(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,410,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91440,16,21201,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CAMP COUNSELOR,PRE-SCHOOL CHILDCARE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
91443,14,21206,YES,"NORTH, EAST, DOWNTOWN",NO,NO,YES,NURSING,CAMP COUNSELOR,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),348,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91444,15,21239,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,YES,COMMUNICATION/MEDIA,NURSING,"PLAYS INSTRUMENT;VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,414,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
91445,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,NO,COMMUNITY SERVICE,PRE-SCHOOL CHILDCARE,PLAYS INSTRUMENT;SWIMMING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),427,IN SCHOOL - ALTERNATIVE SCHOOL,GRADE 8,NONE,
91446,14,21206,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CAMP COUNSELOR,CULINARY ARTS/FOOD SERVICE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),245,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91447,17,21218,YES,"NORTH, EAST, DOWNTOWN",YES,YES,NO,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),PRE-SCHOOL CHILDCARE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),348,IN SCHOOL - POST HS,GRADE 11,PREFERRED,
91449,17,21202,YES,EAST,YES,NO,YES,COMPUTER INFORMATION TECH,VISUAL ARTS,"PLAYS INSTRUMENT;VISUAL ARTS;CADD;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),416,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91450,17,21218,YES,"NORTH, EAST, DOWNTOWN",NO,YES,YES,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),CLERICAL OFFICE WORK,"PLAYS INSTRUMENT;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),480,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
91451,16,21201,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,NURSING,CULINARY ARTS/FOOD SERVICE,DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,400,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
91453,16,21202,YES,"SOUTH, NORTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,NO,YES,VISUAL ARTS,AUTO MECHANICS,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,349,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
91455,18,21212,NO,EAST,NO,YES,YES,ELDERLY SERVICES,CAMP COUNSELOR,"VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,407,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91456,14,21214,YES,"SOUTHEAST, EAST, NORTH, SOUTH, WEST, DOWNTOWN",YES,YES,YES,COMMUNITY SERVICE,CULINARY ARTS/FOOD SERVICE,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,236,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91457,18,21212,YES,"EAST, WEST, DOWNTOWN",YES,YES,YES,NURSING,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),PLAYS INSTRUMENT;VISUAL ARTS;POETRY;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,341,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91458,21,21212,YES,"NORTH, EAST, DOWNTOWN",YES,YES,NO,PRE-SCHOOL CHILDCARE,ELDERLY SERVICES,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,413,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91459,17,21206,YES,"EAST, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,CLERICAL OFFICE WORK,"VISUAL ARTS;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,480,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
91460,15,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,TEACHER'S AIDE,PRE-SCHOOL CHILDCARE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91461,19,21212,YES,"NORTH, EAST, DOWNTOWN",YES,NO,YES,BUSINESS/FINANCE,RECREATION AND SPORTS,"CADD;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,450,IN SCHOOL - HS OR LESS,GRADE 12,MANDATORY,
91462,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,NURSING,ELDERLY SERVICES,"PLAYS INSTRUMENT;VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,223,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91463,15,21202,YES,"SOUTH, SOUTHEAST, DOWNTOWN",NO,YES,YES,PRE-SCHOOL CHILDCARE,CLERICAL OFFICE WORK,PLAYS INSTRUMENT;OFFICE EQUIPMENT;DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,877,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
91464,15,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CONSTRUCTION/MANUFACTURING,CUSTODIAL,DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,729,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91465,15,21215,YES,"EAST, WEST, DOWNTOWN",NO,YES,YES,HOSPITALITY/TRAVEL,RECREATION AND SPORTS,"PLAYS INSTRUMENT;VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,999,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
91469,17,21239,YES,"EAST, SOUTHEAST, NORTH, DOWNTOWN, WEST",YES,YES,YES,CLERICAL OFFICE WORK,CAMP COUNSELOR,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,FRENCH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),480,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91470,17,21218,YES,"NORTH, EAST, WEST, DOWNTOWN",NO,YES,YES,PRE-SCHOOL CHILDCARE,CAMP COUNSELOR,"VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),414,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
91472,14,21214,YES,"SOUTHEAST, WEST, DOWNTOWN",YES,YES,NO,CAMP COUNSELOR,RECREATION AND SPORTS,VISUAL ARTS;OFFICE EQUIPMENT;DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,381,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91473,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,CULINARY ARTS/FOOD SERVICE,RECREATION AND SPORTS,"(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,246,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
91474,16,21215,YES,"EAST, WEST, DOWNTOWN",NO,YES,YES,NURSING,MUSICAL ARTS,DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,400,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
91476,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,NO,CAMP COUNSELOR,NURSING,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,246,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91477,17,21212,YES,"NORTH, EAST, DOWNTOWN",NO,YES,YES,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),NURSING,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,999,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91479,17,21239,YES,"NORTH, EAST",NO,YES,NO,GOVERNMENT/PUBLIC SERVICE,HOSPITALITY/TRAVEL,"PLAYS INSTRUMENT;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,FRENCH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),407,IN SCHOOL - HS OR LESS,GRADE 12,MANDATORY,
91482,17,21218,YES,"SOUTHEAST, WEST, DOWNTOWN, NORTH, SOUTH, EAST",NO,YES,YES,COMMUNICATION/MEDIA,LEGAL,"PLAYS INSTRUMENT;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),480,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
91484,15,21202,YES,"WEST, DOWNTOWN",NO,YES,YES,COMMUNICATION/MEDIA,CLERICAL OFFICE WORK,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,999,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
91486,18,21218,YES,"NORTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,CONSTRUCTION/MANUFACTURING,ARCHITECTURE,"VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),348,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91487,15,21239,YES,EAST,NO,YES,YES,CLERICAL OFFICE WORK,TEACHER'S AIDE,"CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY;DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,FRENCH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),403,IN SCHOOL - POST HS,GRADE 9,NONE,
91488,15,21239,YES,"EAST, DOWNTOWN",YES,YES,YES,BUSINESS/FINANCE,PRE-SCHOOL CHILDCARE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,FRENCH,3.ADVANCED (AP/COLLEGE CLASSES OR NATIVE SPEAKER),410,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
91489,14,21239,YES,"NORTH, EAST, WEST, DOWNTOWN",YES,YES,NO,CAMP COUNSELOR,NURSING,VISUAL ARTS;SWIMMING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,414,IN SCHOOL - POST HS,GRADE 9,NONE,
91490,17,21216,YES,"NORTH, SOUTH, DOWNTOWN, EAST, SOUTHEAST, WEST",NO,YES,NO,COMMUNICATION/MEDIA,CULINARY ARTS/FOOD SERVICE,POETRY,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,454,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
91493,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,CAMP COUNSELOR,STEM,"PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,232,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91494,14,21214,YES,WEST,NO,NO,NO,CAMP COUNSELOR,CAMP COUNSELOR,SWIMMING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,347,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
91495,18,21218,YES,"SOUTHEAST, EAST, NORTH, SOUTH, DOWNTOWN, WEST",NO,YES,YES,GOVERNMENT/PUBLIC SERVICE,COMPUTER INFORMATION TECH,"VISUAL ARTS;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,SPANISH,2.INTERMEDIATE (MINIMUM OF 4 YEARS OF LANGUAGE EDUCATION),999,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
91496,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,COMPUTER INFORMATION TECH,AUTO MECHANICS,"VISUAL ARTS;SWIMMING;CADD;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,325,IN SCHOOL - HS OR LESS,GRADE 8,MANDATORY,
91497,17,21216,YES,"NORTH, SOUTH, EAST, SOUTHEAST, DOWNTOWN, WEST",NO,YES,YES,GOVERNMENT/PUBLIC SERVICE,AUTO MECHANICS,"SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,432,IN SCHOOL - HS OR LESS,GRADE 11,PREFERRED,
91498,18,21212,YES,"NORTH, EAST, DOWNTOWN",NO,NO,YES,CULINARY ARTS/FOOD SERVICE,CULINARY ARTS/FOOD SERVICE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,,,427,IN SCHOOL - HS OR LESS,GRADE 12,MANDATORY,
91500,19,21212,NO,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,NO,STEM,STEM,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,427,IN SCHOOL - HS OR LESS,GRADE 12,PREFERRED,
91505,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,NO,NO,RECREATION AND SPORTS,NURSING,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,377,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91507,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,ENVIRONMENTAL/GREEN,CAMP COUNSELOR,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,421,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91508,14,21229,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,NO,CULINARY ARTS/FOOD SERVICE,PRE-SCHOOL CHILDCARE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,88,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
91509,19,21218,YES,WEST,NO,NO,NO,AUTO MECHANICS,BUSINESS/FINANCE,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),416,IN SCHOOL - HS OR LESS,GRADE 12,PREFERRED,
91511,15,21239,YES,"NORTH, DOWNTOWN",NO,YES,YES,TEACHER'S AIDE,BUSINESS/FINANCE,"SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,FRENCH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),480,IN SCHOOL - HS OR LESS,GRADE 9,NONE,
91512,15,21202,YES,"WEST, DOWNTOWN",NO,YES,YES,NURSING,CAMP COUNSELOR,VISUAL ARTS;SWIMMING;POETRY;DANCING,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,377,IN SCHOOL - HS OR LESS,GRADE 9,PREFERRED,
