POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
619,6,4,0,14,14-21,21223,WEST,NO,NO,NO,"CUSTODIAL,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
620,10,0,7,14,14-15,21201,DOWNTOWN,NO,YES,YES,"VISUAL ARTS,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
621,8,3,1,14,14-21,21201,DOWNTOWN,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
COMMUNITY SERVICE,
ELDERLY SERVICES,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
622,10,5,1,14,14-21,21229,WEST,NO,YES,YES,"TEACHER'S AIDE,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
623,4,0,1,16,16-17,21212,EAST,NO,NO,NO,"MUSICAL ARTS,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
624,33,4,13,19,18-21,21228,SOUTH,NO,YES,YES,"CLERICAL OFFICE WORK,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
625,9,1,1,18,18-21,21205,EAST,NO,NO,NO,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
CUSTODIAL,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
626,15,3,1,17,16-21,21201,DOWNTOWN,YES,NO,YES,"VISUAL ARTS,
RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
RETAIL (16+ YEAR OLD ONLY),","VISUAL ARTS, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
627,6,2,2,14,14-21,21223,WEST,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
CUSTODIAL,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
628,6,2,6,18,18-21,21206,EAST,NO,YES,NO,"COMMUNITY SERVICE,
CUSTODIAL,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
629,1,0,0,14,14-21,21220,EAST,NO,YES,NO,"CLERICAL OFFICE WORK,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
630,3,1,2,16,16-17,21220,EAST,NO,YES,NO,"TEACHER'S AIDE,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,
CONSTRUCTION/MANUFACTURING,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
631,7,0,6,14,14-21,21223,WEST,NO,NO,NO,"VISUAL ARTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
632,3,1,1,16,16-21,21203,DOWNTOWN,NO,YES,YES,"TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
633,1,0,0,14,14-21,21163,WEST,NO,NO,NO,"MUSICAL ARTS,
NURSING,
GOVERNMENT/PUBLIC SERVICE,
COMMUNICATION/MEDIA,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
634,7,7,3,14,14-21,21229,WEST,YES,NO,NO,"BUSINESS/FINANCE,
NURSING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
635,12,1,1,19,18-21,21217,WEST,NO,NO,NO,"MUSICAL ARTS,
BUSINESS/FINANCE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
636,4,1,2,16,16-21,21214,EAST,YES,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
STEM,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
637,4,3,0,16,16-17,21203,DOWNTOWN,NO,NO,NO,"TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
COMMUNICATION/MEDIA,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
638,11,0,4,16,16-17,21206,EAST,NO,NO,NO,"BUSINESS/FINANCE,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
639,6,0,4,14,14-15,21206,EAST,YES,NO,NO,"VISUAL ARTS,
ENVIRONMENTAL/GREEN,
NURSING,
COMMUNITY SERVICE,
CONSTRUCTION/MANUFACTURING,
ELECTRICAL/CARPENTRY,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
640,10,3,5,14,14-15,21229,WEST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,
COMMUNICATION/MEDIA,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
641,20,0,2,18,18-21,21217,WEST,YES,NO,YES,"RECREATION AND SPORTS,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
642,21,15,21,14,14-21,21252,NORTH,NO,YES,NO,"VISUAL ARTS,
NURSING,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,
LEGAL,","VISUAL ARTS, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
643,10,4,3,14,14-21,21206,EAST,YES,NO,NO,"RECREATION AND SPORTS,
HOSPITALITY/TRAVEL,
RETAIL (16+ YEAR OLD ONLY),
ELECTRICAL/CARPENTRY,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
644,10,4,4,16,16-17,21201,DOWNTOWN,NO,NO,NO,"RECREATION AND SPORTS,
CUSTODIAL,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
645,12,5,4,16,16-17,21201,DOWNTOWN,YES,NO,NO,"RECREATION AND SPORTS,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
NURSING,
COMMUNITY SERVICE,
LEGAL,
HOSPITALITY/TRAVEL,",SWIMMING,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
646,5,1,2,15,16-17,21229,WEST,NO,NO,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
STEM,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
647,7,0,2,14,14-15,21201,DOWNTOWN,NO,NO,YES,"GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
648,6,2,6,18,18-21,21214,EAST,YES,NO,YES,"RECREATION AND SPORTS,
BUSINESS/FINANCE,
COMPUTER INFORMATION TECH,
CUSTODIAL,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
649,1,0,1,16,16-17,21163,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
650,6,1,2,14,14-15,21230,SOUTH,NO,NO,NO,"TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
651,4,2,2,15,16-17,21224,EAST,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
652,6,3,4,16,16-21,21230,SOUTH,YES,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,
STEM,",VISUAL ARTS,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
653,6,1,4,16,16-17,21217,WEST,NO,NO,NO,"CUSTODIAL,
TEACHER'S AIDE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
654,15,7,5,18,18-21,21217,WEST,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
655,11,3,9,18,18-21,21217,WEST,YES,YES,NO,"MUSICAL ARTS,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
656,1,0,1,15,16-21,21163,WEST,NO,NO,NO,"TEACHER'S AIDE,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
657,7,3,3,15,16-17,21223,WEST,YES,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
CUSTODIAL,
ELDERLY SERVICES,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
658,21,2,20,14,14-21,21228,SOUTH,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
659,5,1,4,14,14-21,21210,NORTH,NO,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
NURSING,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
STEM,
GRAPHIC DESIGN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
660,1,0,0,16,16-21,21214,EAST,YES,NO,NO,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
661,9,0,2,16,16-17,21237,EAST,NO,NO,NO,"NURSING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
662,12,7,11,14,14-15,21201,DOWNTOWN,NO,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
STEM,
COMMUNICATION/MEDIA,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
663,6,3,1,16,16-21,21229,WEST,NO,NO,NO,"STEM,
STEM,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
664,8,0,4,16,16-17,21210,NORTH,NO,NO,NO,"MUSICAL ARTS,
RECREATION AND SPORTS,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
665,7,1,6,18,18-21,21215,WEST,YES,YES,YES,"RECREATION AND SPORTS,
CAMP COUNSELOR,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
666,9,2,5,16,16-21,21205,EAST,NO,YES,YES,"CAMP COUNSELOR,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
667,8,2,5,18,18-21,21201,DOWNTOWN,NO,NO,NO,"RECREATION AND SPORTS,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
668,7,0,2,18,18-21,21215,WEST,NO,NO,YES,"COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
669,1,1,1,16,16-21,21220,EAST,NO,NO,NO,"CAMP COUNSELOR,
COMMUNITY SERVICE,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
670,2,1,0,16,16-21,21163,WEST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
671,1,0,1,16,16-21,21220,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
672,15,5,4,14,14-15,21218,EAST,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
LEGAL,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
673,6,2,4,14,14-21,21203,DOWNTOWN,NO,YES,YES,"MUSICAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,","PLAYS INSTRUMENT, OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
674,11,1,1,15,16-17,21216,WEST,NO,NO,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
675,12,9,2,16,16-17,21215,WEST,NO,NO,NO,"MUSICAL ARTS,
RECREATION AND SPORTS,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
LEGAL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
676,15,1,12,14,14-21,21201,DOWNTOWN,YES,NO,NO,"BUSINESS/FINANCE,
COMMUNITY SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
677,9,1,6,14,14-15,21223,WEST,YES,NO,YES,"ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
678,13,7,9,16,16-21,21201,DOWNTOWN,NO,NO,YES,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
679,4,0,3,18,18-21,21214,EAST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
680,12,4,11,17,16-17,21217,WEST,NO,NO,NO,"BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
681,1,1,1,14,14-15,21163,WEST,NO,YES,YES,"COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
682,9,1,5,14,14-21,21229,WEST,NO,NO,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
COMPUTER INFORMATION TECH,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
683,3,0,1,16,16-17,21214,EAST,NO,NO,NO,"NURSING,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
684,5,3,2,18,18-21,21210,NORTH,NO,YES,NO,"COMMUNITY SERVICE,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
685,12,5,11,16,16-17,21201,DOWNTOWN,YES,YES,YES,"CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
686,9,0,1,16,16-17,21201,DOWNTOWN,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
687,3,1,3,18,18-21,21230,SOUTH,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
STEM,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT, DANCING",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
