Worksite ID,Minimum Age,Maximum Age,Zip,Youth Requested,Side of City,Working Outside,Dress Code,With Computers,Career Interests,Skills,Job Choice 1,2nd Language
438,14,19,21239,11,East,Yes,No,No,"Business/Finance
Environmental/Green
Government/Public Service
Community Service
Legal
Retail (17+ Year Old Only)",,C,
439,16,18,21250,4,Outside City (South),No,Yes,Yes,"Musical Arts
Clerical Office Work","Microsoft Word, Powerpoint, Excel",D,
440,14,18,21201,16,Downtown,Yes,No,No,Custodial,,F,
441,16,19,21201,5,Downtown,No,No,No,"Pre-School Childcare
Environmental/Green
Government/Public Service
Custodial",,F,Spanish
442,16,21,21205,10,East,No,No,No,"Teacher's Aide
Custodial",,H,
443,14,15,21201,9,Downtown,No,No,No,"Community Service
Engineering",,F,
444,16,18,21229,14,West,Yes,No,No,"Visual Arts
Environmental/Green
Custodial
Construction Trades
Elderly Services","Microsoft Word, Powerpoint, Excel",G,
445,14,18,21212,5,East,No,No,No,"Business/Finance
Custodial","Microsoft Word, Powerpoint, Excel",E,
446,15,18,21216,5,West,No,No,No,"Teacher's Aide
Government/Public Service
Construction Trades
Communication/Media",,H,
447,14,16,21215,6,West,No,No,Yes,Computer Information Tech,"Microsoft Word, Powerpoint, Excel",D,
448,18,17,21217,21,West,No,Yes,Yes,"Government/Public Service
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
449,14,16,21204,3,Outside City (East),No,No,No,Custodial,,A,
450,14,20,21201,8,Downtown,No,No,No,"Teacher's Aide
Camp Counselor
Custodial
Communication/Media",,A,
451,14,21,21163,1,Outside City (West),No,Yes,No,"Visual Arts
Government/Public Service
Community Service
Culinary Arts/Food Service
Clerical Office Work
Hospitality/Travel","Microsoft Word, Powerpoint, Excel",F,
452,17,21,21224,7,East,No,No,No,"Nursing
Communication/Media","Microsoft Word, Powerpoint, Excel",B,
453,14,16,21214,4,East,No,Yes,Yes,"Recreation And Sports
Teacher's Aide
Computer Information Tech
Clerical Office Work","Spanish & English Bilingual
Microsoft Word, Powerpoint, Excel",D,
454,16,21,21217,15,West,Yes,Yes,No,"Teacher's Aide
Environmental/Green
Community Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
455,16,19,21163,1,Outside City (West),Yes,No,No,"Visual Arts
Pre-School Childcare
Recreation And Sports
Engineering",,D,
456,18,17,21216,6,West,Yes,No,No,Communication/Media,,B,
457,16,17,21163,2,Outside City (West),Yes,No,No,"Recreation And Sports
Government/Public Service
Culinary Arts/Food Service
Custodial
Construction Trades",Swimming,G,
458,14,17,21220,2,Outside City (East),No,Yes,Yes,"Visual Arts
Nursing
Government/Public Service
Community Service
Clerical Office Work","Visual Arts (Drawing, painting, etc)
Microsoft Word, Powerpoint, Excel",A,
459,16,19,21214,2,East,No,Yes,No,"Camp Counselor
Clerical Office Work
Graphic Design","Microsoft Word, Powerpoint, Excel",E,
460,18,19,21201,7,Downtown,No,No,No,"Musical Arts
Business/Finance",Plays an Instrument,E,
461,16,19,21229,13,West,No,No,No,Community Service,,G,
462,19,21,21201,9,Downtown,No,No,No,"Pre-School Childcare
Recreation And Sports
Teacher's Aide
Environmental/Green
Government/Public Service","Microsoft Word, Powerpoint, Excel",G,
463,14,20,21213,15,East,No,No,No,"Musical Arts
Camp Counselor
Nursing
Government/Public Service
Community Service
Culinary Arts/Food Service
STEM",,H,
464,16,19,21214,4,East,No,No,No,"Pre-School Childcare
Camp Counselor
Community Service
Retail (17+ Year Old Only)",,C,
465,15,19,21224,7,East,Yes,Yes,Yes,"Recreation And Sports
Business/Finance
Environmental/Green
Government/Public Service
Culinary Arts/Food Service
Computer Information Tech
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
466,18,21,21201,5,Downtown,No,Yes,No,"Teacher's Aide
Custodial
Clerical Office Work
Legal
Hospitality/Travel
Graphic Design","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
467,16,18,21217,15,West,No,No,No,"Environmental/Green
Communication/Media
Electrical/Carpentry
Elderly Services",Spanish & English Bilingual,G,
468,16,18,21206,14,East,No,No,No,"Camp Counselor
Business/Finance
Communication/Media",,F,
469,14,16,21201,8,Downtown,No,No,Yes,"Teacher's Aide
Camp Counselor
Business/Finance
Community Service
Computer Information Tech",,C,
470,18,21,21163,1,Outside City (West),No,No,No,"Musical Arts
Pre-School Childcare
Recreation And Sports
Custodial",,D,
471,16,19,21217,15,West,No,Yes,Yes,"Musical Arts
Camp Counselor
Computer Information Tech
Engineering
Construction Trades
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,
472,15,16,21163,2,Outside City (West),No,Yes,Yes,"Community Service
Computer Information Tech",,C,
473,14,20,21216,13,West,No,Yes,Yes,"Recreation And Sports
Community Service
Construction Trades
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",D,
474,16,17,21206,13,East,Yes,No,Yes,"Recreation And Sports
Camp Counselor
Nursing
Government/Public Service
Community Service
Computer Information Tech
Construction Trades
Retail (17+ Year Old Only)",,E,
475,18,20,21215,8,West,No,Yes,No,"Custodial
Clerical Office Work","Microsoft Word, Powerpoint, Excel",C,
476,15,21,21206,13,East,No,No,No,Business/Finance,,D,
477,16,17,21216,5,West,No,No,No,Camp Counselor,,C,
478,15,17,21217,19,West,No,No,No,"Visual Arts
Musical Arts
Camp Counselor
Business/Finance
Engineering
Elderly Services",,H,
479,14,21,21215,6,West,No,Yes,Yes,"Teacher's Aide
Environmental/Green
Government/Public Service
Computer Information Tech
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,
480,16,17,21204,1,Outside City (East),No,Yes,No,"Business/Finance
Communication/Media
Clerical Office Work
Retail (17+ Year Old Only)","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",H,
481,14,21,21163,1,Outside City (West),No,No,No,Community Service,,F,
482,16,18,21214,4,East,No,Yes,Yes,"Visual Arts
Nursing
Government/Public Service
Computer Information Tech
STEM
Clerical Office Work","Visual Arts (Drawing, painting, etc)
Microsoft Word, Powerpoint, Excel",H,
483,14,19,21215,8,West,No,No,No,Community Service,,G,
484,14,17,21224,9,East,No,No,No,"Visual Arts
Teacher's Aide
Environmental/Green
STEM
Legal","Microsoft Word, Powerpoint, Excel",A,
485,16,18,21229,8,West,No,No,No,"Musical Arts
Pre-School Childcare
Camp Counselor
Environmental/Green
Community Service
STEM
Legal
Architecture",,F,
486,14,17,21212,7,East,No,Yes,Yes,"Camp Counselor
Business/Finance
Nursing","Microsoft Word, Powerpoint, Excel",D,
487,14,15,21201,8,Downtown,No,No,No,"Musical Arts
Community Service
Communication/Media",,C,
488,19,21,21220,2,Outside City (East),No,No,No,"Business/Finance
Environmental/Green",,H,
489,14,21,21212,8,East,No,No,No,"Teacher's Aide
Government/Public Service
Culinary Arts/Food Service",,B,
490,18,19,21216,5,West,No,No,No,"Musical Arts
Business/Finance
Government/Public Service
Culinary Arts/Food Service
Architecture",,F,
491,16,20,21215,7,West,No,No,No,"Teacher's Aide
Communication/Media
STEM",,C,
492,18,20,21216,8,West,No,Yes,Yes,"Visual Arts
Pre-School Childcare
Computer Information Tech
Custodial
Construction Trades
Communication/Media
Clerical Office Work",,A,
493,15,14,21217,17,West,Yes,Yes,No,"Environmental/Green
Community Service
Custodial
Engineering
STEM
Clerical Office Work","Microsoft Word, Powerpoint, Excel",E,
494,14,16,21163,3,Outside City (West),Yes,No,No,"Musical Arts
Environmental/Green
Culinary Arts/Food Service
Construction Trades",,D,
495,14,17,21214,4,East,No,No,No,"Government/Public Service
Custodial
Auto Mechanics",,B,
496,18,21,21201,9,Downtown,Yes,No,No,"Recreation And Sports
Camp Counselor
Community Service
Culinary Arts/Food Service
Engineering
Communication/Media",,G,
497,14,21,21205,9,East,No,No,No,"Pre-School Childcare
Recreation And Sports
Camp Counselor
Government/Public Service
Community Service
Culinary Arts/Food Service
Custodial
Auto Mechanics",,H,
498,14,20,21206,20,East,Yes,No,No,"Recreation And Sports
Camp Counselor
Government/Public Service
Culinary Arts/Food Service",,E,
499,14,16,21201,5,Downtown,No,Yes,Yes,"Visual Arts
Teacher's Aide
Business/Finance
Clerical Office Work
Legal","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
500,16,19,21201,10,Downtown,Yes,No,No,Camp Counselor,,D,
501,16,20,21220,1,Outside City (East),No,No,No,"Environmental/Green
Community Service
Custodial
Architecture",,B,
502,14,18,20705,5,Outside City (South),No,No,No,"Teacher's Aide
Camp Counselor","Microsoft Word, Powerpoint, Excel",H,
503,14,18,21206,16,East,No,No,No,"Recreation And Sports
Community Service
Custodial
STEM
Retail (17+ Year Old Only)",,E,
504,14,15,21214,7,East,No,No,No,Government/Public Service,,E,
505,14,15,21163,1,Outside City (West),No,No,No,"Visual Arts
Musical Arts
Government/Public Service",,C,
506,16,15,21215,9,West,No,Yes,No,"Recreation And Sports
Teacher's Aide
Environmental/Green
Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
507,18,19,21216,12,West,Yes,No,No,"Pre-School Childcare
Teacher's Aide
Camp Counselor
Environmental/Green
Community Service
Culinary Arts/Food Service
Custodial
Communication/Media","Microsoft Word, Powerpoint, Excel",F,
508,18,21,21220,1,Outside City (East),No,No,No,"Recreation And Sports
Community Service
Custodial
Construction Trades
Graphic Design",,D,
509,16,18,21224,7,East,No,Yes,Yes,"Teacher's Aide
STEM
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)",A,
510,14,18,21215,5,West,No,No,No,"Visual Arts
Recreation And Sports
Environmental/Green
Auto Mechanics",,F,
511,16,20,21217,8,West,Yes,No,Yes,"Visual Arts
Recreation And Sports
Camp Counselor
Government/Public Service
Community Service
Computer Information Tech",,A,
512,15,18,21229,13,West,No,No,Yes,"Camp Counselor
Government/Public Service
Community Service
Culinary Arts/Food Service
Computer Information Tech
Hospitality/Travel",,F,
513,14,21,21201,8,Downtown,No,Yes,No,"Government/Public Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
514,16,21,21239,9,East,No,No,No,"Visual Arts
Pre-School Childcare
Communication/Media","Microsoft Word, Powerpoint, Excel
Spoken Word or Poetry",G,
515,15,19,21163,1,Outside City (West),Yes,Yes,Yes,"Recreation And Sports
Government/Public Service
Custodial
Engineering
Construction Trades
Clerical Office Work
Architecture","Microsoft Word, Powerpoint, Excel",H,
516,15,21,21201,4,Downtown,No,Yes,Yes,"Recreation And Sports
Teacher's Aide
Environmental/Green
Government/Public Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,
517,16,21,21214,5,East,No,No,No,"Teacher's Aide
Business/Finance
Government/Public Service
Community Service
Custodial
STEM",,C,
518,16,17,21206,7,East,Yes,No,No,"Musical Arts
Pre-School Childcare
Teacher's Aide
Environmental/Green
Custodial",,G,
519,15,19,21205,5,East,Yes,No,No,"Custodial
Engineering
Communication/Media
Retail (17+ Year Old Only)
Architecture",,F,
520,16,18,21216,10,West,No,No,Yes,Computer Information Tech,,H,
521,15,20,21214,5,East,No,No,No,Pre-School Childcare,,B,
522,18,19,21201,12,Downtown,No,Yes,No,Government/Public Service,,D,
523,14,18,21201,10,Downtown,No,No,No,"Pre-School Childcare
Recreation And Sports
Business/Finance","Swimming
Microsoft Word, Powerpoint, Excel",E,
524,18,21,21216,8,West,No,Yes,Yes,"Clerical Office Work
Graphic Design","Visual Arts (Drawing, painting, etc)
Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
525,16,21,21217,10,West,No,No,No,"Camp Counselor
Communication/Media",,D,
526,15,21,21229,6,West,No,No,Yes,"Computer Information Tech
Electrical/Carpentry",,E,
527,20,19,21237,12,East,No,Yes,No,"Community Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)",E,
528,18,21,21163,1,Outside City (West),No,No,Yes,"Visual Arts
Computer Information Tech",,F,
529,16,21,21204,6,Outside City (East),No,No,No,Camp Counselor,,H,
530,14,15,21214,7,East,No,Yes,Yes,"Recreation And Sports
Environmental/Green
Government/Public Service
Culinary Arts/Food Service
Computer Information Tech
Custodial
Communication/Media
Clerical Office Work","Swimming
Microsoft Word, Powerpoint, Excel",E,
531,16,17,21201,3,Downtown,No,No,Yes,"Computer Information Tech
Hospitality/Travel
Auto Mechanics",,G,
532,16,20,21163,2,Outside City (West),No,No,No,Teacher's Aide,,B,
533,15,17,21163,1,Outside City (West),No,No,Yes,"Teacher's Aide
Camp Counselor
Community Service
Computer Information Tech
Graphic Design
Retail (17+ Year Old Only)","Microsoft Word, Powerpoint, Excel",H,
534,14,17,21229,13,West,No,No,No,"Pre-School Childcare
Camp Counselor
Business/Finance
Government/Public Service
Engineering
STEM","Microsoft Word, Powerpoint, Excel",E,
535,16,21,21216,14,West,No,No,No,"Teacher's Aide
Community Service
Custodial",,A,
536,18,19,21205,6,East,No,No,No,"Visual Arts
Pre-School Childcare
Custodial",,H,
537,18,20,21205,8,East,No,No,No,"Teacher's Aide
Business/Finance
Government/Public Service
Custodial
Hospitality/Travel",,H,
538,15,18,21237,10,East,No,Yes,Yes,Clerical Office Work,"Microsoft Word, Powerpoint, Excel",B,
539,14,16,21237,4,East,No,Yes,No,"Musical Arts
Government/Public Service",,A,
540,14,19,21214,2,East,No,No,No,"Musical Arts
Teacher's Aide
Camp Counselor
Business/Finance
Custodial",,H,
541,18,21,21225,1,South,No,No,No,"Visual Arts
Musical Arts
Custodial",,E,
542,15,21,21217,12,West,No,Yes,Yes,"Recreation And Sports
Hospitality/Travel
Architecture",,E,
543,14,18,21203,2,Downtown,No,No,Yes,"Pre-School Childcare
Computer Information Tech",,F,Spanish
544,18,21,21206,11,East,No,No,No,"Visual Arts
Government/Public Service
Culinary Arts/Food Service","Microsoft Word, Powerpoint, Excel",D,
545,16,18,21214,4,East,No,No,No,"Visual Arts
Retail (17+ Year Old Only)",,G,
546,16,21,21203,6,Downtown,No,No,No,Community Service,,D,
547,14,20,21216,16,West,No,No,No,"Visual Arts
Pre-School Childcare
Recreation And Sports
Culinary Arts/Food Service",,E,
548,16,17,21203,6,Downtown,No,No,Yes,"Pre-School Childcare
Community Service
Computer Information Tech",,C,
549,15,21,21229,12,West,No,Yes,Yes,"Camp Counselor
Community Service
Graphic Design","Microsoft Word, Powerpoint, Excel",F,
550,14,16,21216,6,West,No,No,No,"Pre-School Childcare
Business/Finance
Community Service",,C,
551,16,17,21163,2,Outside City (West),No,No,No,"Camp Counselor
Business/Finance
Nursing
Government/Public Service
Community Service",,E,
552,16,20,21204,1,Outside City (East),No,No,No,"Musical Arts
Custodial
Communication/Media",Plays an Instrument,G,
553,16,21,21229,12,West,Yes,No,No,"Recreation And Sports
Government/Public Service
Community Service
Graphic Design",Dancing,G,
554,14,15,21163,1,Outside City (West),No,Yes,Yes,"Visual Arts
Recreation And Sports
Teacher's Aide
Environmental/Green
Community Service",,A,
555,18,19,21217,17,West,Yes,No,No,"Recreation and Sports
Community Service",,H,
556,14,16,21220,2,Outside City (East),No,No,No,"Recreation And Sports
Teacher's Aide
Environmental/Green",,C,
557,14,20,21201,6,Downtown,No,No,No,"Pre-School Childcare
Environmental/Green",,E,
558,18,20,21163,1,Outside City (West),No,No,No,Architecture,,A,
559,14,17,21250,3,Outside City (South),No,No,No,"Teacher's Aide
Camp Counselor
Community Service",,F,
560,15,20,21212,3,East,No,No,No,"Business/Finance
Custodial","Microsoft Word, Powerpoint, Excel",C,
561,14,20,21206,14,East,Yes,No,No,"Teacher's Aide
Environmental/Green
Government/Public Service
Culinary Arts/Food Service
Communication/Media
Architecture",,A,
562,18,19,21229,6,West,No,No,No,Community Service,"Microsoft Word, Powerpoint, Excel",A,
563,15,17,21220,2,Outside City (East),No,No,No,"Recreation And Sports
Camp Counselor",,A,
564,14,18,21229,10,West,No,No,No,"Government/Public Service
Culinary Arts/Food Service
Custodial
Communication/Media",,F,
565,16,19,21217,10,West,Yes,No,Yes,"Pre-School Childcare
Environmental/Green
Community Service
Computer Information Tech",,C,
566,16,18,21228,29,South,No,No,No,"Pre-School Childcare
Camp Counselor
Government/Public Service
Community Service
Construction Trades
Communication/Media",,H,
567,18,19,21215,8,West,No,Yes,No,"Community Service
Construction Trades
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",F,French
568,14,16,21215,6,West,No,No,No,"Custodial
Communication/Media
STEM",,E,
569,14,19,21215,5,West,No,Yes,No,"Communication/Media
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",F,
570,16,21,21201,8,Downtown,No,Yes,No,"Musical Arts
Pre-School Childcare
Communication/Media
STEM
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
571,18,19,21212,3,East,No,No,No,"Environmental/Green
Community Service
Custodial",,G,
572,18,20,21214,7,East,No,Yes,No,"Visual Arts
Pre-School Childcare
Community Service
Communication/Media
STEM","Visual Arts (Drawing, painting, etc)",A,
573,14,21,21210,5,North,Yes,No,No,"Visual Arts
Environmental/Green
Community Service
Culinary Arts/Food Service
Custodial
Communication/Media",Spoken Word or Poetry,A,
574,16,18,21237,10,East,No,No,No,Government/Public Service,"Microsoft Word, Powerpoint, Excel",C,
575,14,21,21204,1,Outside City (East),No,Yes,Yes,"Camp Counselor
Business/Finance
Community Service
Culinary Arts/Food Service
Computer Information Tech
Engineering
Construction Trades
Clerical Office Work
Graphic Design","Microsoft Word, Powerpoint, Excel",D,
576,16,15,21163,1,Outside City (West),No,No,No,"Camp Counselor
Business/Finance
Government/Public Service
Architecture",,F,
577,14,15,21163,1,Outside City (West),No,No,No,"Environmental/Green
Government/Public Service
Custodial",,B,
578,17,20,21229,10,West,No,No,No,Custodial,,B,
579,14,20,21205,8,East,Yes,No,No,"Visual Arts
Recreation And Sports
Camp Counselor
Government/Public Service
Community Service",,B,
580,14,16,21228,26,South,No,No,Yes,"Community Service
Computer Information Tech
Construction Trades
Communication/Media
Elderly Services",,B,
581,18,19,21229,10,West,Yes,No,No,"Recreation And Sports
Custodial
STEM",,D,
582,16,20,21201,8,Downtown,No,Yes,No,"Pre-School Childcare
Recreation And Sports
Business/Finance
Community Service
Custodial
Communication/Media
STEM
Clerical Office Work
Graphic Design","Swimming
Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,Yoruba
583,14,13,21224,7,East,Yes,No,No,"Musical Arts
Business/Finance
Environmental/Green
Government/Public Service",,F,
584,18,20,21229,5,West,No,No,No,Teacher's Aide,,A,
585,14,19,21203,2,Downtown,No,No,No,"Musical Arts
Engineering
Elderly Services",,B,
586,16,19,21206,6,East,No,Yes,No,"Recreation And Sports
Community Service
Legal",Dancing,F,Spanish
587,16,19,21237,4,East,No,No,No,"Teacher's Aide
Culinary Arts/Food Service
STEM
Architecture",,G,
588,14,17,21163,1,Outside City (West),Yes,No,No,"Custodial
Retail (17+ Year Old Only)
Architecture
Elderly Services",,H,
589,14,19,21214,4,East,Yes,No,No,"Recreation And Sports
Community Service
Custodial",,F,
590,14,17,21229,14,West,No,No,No,Visual Arts,,D,
591,19,20,21203,6,Downtown,No,No,Yes,"Visual Arts
Teacher's Aide
Nursing
Computer Information Tech
Graphic Design",,G,
592,14,16,21216,13,West,No,No,No,"Government/Public Service
Engineering",,C,
593,14,21,21163,2,Outside City (West),Yes,No,No,Visual Arts,,A,
594,16,17,21214,6,East,No,No,No,"Pre-School Childcare
Recreation And Sports
Camp Counselor
Government/Public Service
Custodial
Communication/Media",,B,
595,14,17,21220,1,Outside City (East),No,No,No,"Teacher's Aide
Camp Counselor
Business/Finance
Culinary Arts/Food Service
Communication/Media",,H,
596,16,19,21216,10,West,No,No,No,"Visual Arts
Teacher's Aide
Camp Counselor
Business/Finance
Communication/Media
STEM
Hospitality/Travel",,F,
597,14,18,21215,6,West,No,Yes,Yes,"Musical Arts
Custodial
Clerical Office Work
Electrical/Carpentry","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
598,16,15,21239,8,East,No,Yes,Yes,"Communication/Media
Clerical Office Work
Legal","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",C,
599,15,21,21203,1,Downtown,No,Yes,No,Visual Arts,"Visual Arts (Drawing, painting, etc)",F,
600,16,18,21226,3,South,No,Yes,Yes,"Visual Arts
Camp Counselor
Community Service
Computer Information Tech
Custodial
Clerical Office Work
Graphic Design
Elderly Services","Visual Arts (Drawing, painting, etc)
Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
601,16,20,21201,6,Downtown,No,No,No,"Pre-School Childcare
Custodial
Engineering
Graphic Design","Visual Arts (Drawing, painting, etc)",H,
602,16,20,21201,9,Downtown,No,Yes,Yes,Clerical Office Work,"Microsoft Word, Powerpoint, Excel",H,
603,18,20,21216,11,West,No,No,No,"Pre-School Childcare
Camp Counselor
Custodial
Engineering
Communication/Media
Legal",,B,
604,16,21,21229,8,West,No,Yes,No,"Community Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)",D,
605,14,16,21224,8,East,No,No,No,"Pre-School Childcare
Environmental/Green
Community Service",,F,
606,16,20,21201,14,Downtown,No,No,No,"Recreation And Sports
Teacher's Aide
Government/Public Service",,C,
607,14,18,21217,8,West,No,Yes,No,"Pre-School Childcare
Business/Finance
Community Service
Clerical Office Work
Elderly Services","Microsoft Word, Powerpoint, Excel",D,
608,14,13,21220,1,Outside City (East),No,No,No,"Teacher's Aide
Community Service
Custodial
Retail (17+ Year Old Only)","Microsoft Word, Powerpoint, Excel",A,
609,14,15,21163,1,Outside City (West),Yes,No,No,"Recreation And Sports
Camp Counselor
Culinary Arts/Food Service
Custodial",,H,
610,16,18,21217,12,West,No,No,No,"Visual Arts
Musical Arts
Community Service
Communication/Media
STEM
Legal","Visual Arts (Drawing, painting, etc)",D,
611,16,20,21201,15,Downtown,No,No,No,"Teacher's Aide
Camp Counselor
Business/Finance
Government/Public Service
Graphic Design","Visual Arts (Drawing, painting, etc)
Microsoft Word, Powerpoint, Excel",H,
612,16,18,21229,8,West,No,No,No,"Government/Public Service
Communication/Media","Microsoft Word, Powerpoint, Excel",D,
613,16,20,21216,8,West,Yes,No,No,"Recreation And Sports
Business/Finance
Environmental/Green",,E,
614,16,19,21214,8,East,Yes,No,No,"Pre-School Childcare
Environmental/Green",,A,
615,18,21,21229,6,West,No,No,No,"Musical Arts
Pre-School Childcare
Teacher's Aide
Camp Counselor
STEM",Plays an Instrument,D,
616,14,16,21229,9,West,No,No,No,Camp Counselor,,F,
617,16,20,21203,5,Downtown,No,No,No,"Musical Arts
Recreation And Sports
Camp Counselor
Community Service
Custodial
Legal",Spanish & English Bilingual,G,
618,16,21,21228,23,South,No,No,No,"Pre-School Childcare
Teacher's Aide
Nursing
Community Service
Custodial
Engineering
Legal
Retail (17+ Year Old Only)",,D,
619,14,20,21223,6,West,No,No,No,"Custodial
STEM",,F,
620,14,16,21201,10,Downtown,No,Yes,Yes,"Visual Arts
Environmental/Green
Community Service
Computer Information Tech
Hospitality/Travel",,G,
621,14,19,21201,8,Downtown,Yes,No,No,"Pre-School Childcare
Recreation And Sports
Teacher's Aide
Camp Counselor
Community Service
Elderly Services",,H,
622,14,20,21229,10,West,No,Yes,Yes,"Teacher's Aide
Business/Finance
Environmental/Green
Community Service
Computer Information Tech
Custodial
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",B,
623,16,18,21212,4,East,No,No,No,Musical Arts,"Microsoft Word, Powerpoint, Excel",G,
624,19,20,21228,33,South,No,Yes,Yes,Clerical Office Work,"Microsoft Word, Powerpoint, Excel",H,
625,18,21,21205,9,East,No,No,No,"Camp Counselor
Environmental/Green
Custodial
Communication/Media",,F,
626,17,19,21201,15,Downtown,Yes,No,Yes,"Visual Arts
Recreation And Sports
Environmental/Green
Computer Information Tech
Retail (17+ Year Old Only)","Visual Arts (Drawing, painting, etc)
Microsoft Word, Powerpoint, Excel",G,
627,14,18,21223,6,West,No,No,No,"Government/Public Service
Community Service
Custodial
STEM",,D,
628,18,20,21206,6,East,No,Yes,No,"Community Service
Custodial
Hospitality/Travel",,C,
629,14,18,21220,1,Outside City (East),No,Yes,No,Clerical Office Work,"Microsoft Word, Powerpoint, Excel",A,
630,16,18,21220,3,Outside City (East),No,Yes,No,"Teacher's Aide
Clerical Office Work
Hospitality/Travel
Manufacturing","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
631,14,20,21223,7,West,No,No,No,Visual Arts,,D,
632,16,20,21203,3,Downtown,No,Yes,Yes,"Teacher's Aide
Environmental/Green
Government/Public Service
Culinary Arts/Food Service
Clerical Office Work","Microsoft Word, Powerpoint, Excel",G,
633,14,18,21163,1,Outside City (West),No,No,No,"Musical Arts
Nursing
Government/Public Service
Communication/Media",Plays an Instrument,D,
634,14,18,21229,7,West,Yes,No,No,"Business/Finance
Nursing",,G,
635,19,20,21217,12,West,No,No,No,"Musical Arts
Business/Finance
Custodial",,F,
636,16,20,21214,4,East,Yes,No,No,"Recreation And Sports
Camp Counselor
Engineering","Microsoft Word, Powerpoint, Excel",E,
637,16,17,21203,4,Downtown,No,No,No,"Teacher's Aide
Environmental/Green
Government/Public Service
Communication/Media
STEM",,A,
638,16,15,21206,11,East,No,No,No,"Business/Finance
Community Service
Culinary Arts/Food Service
Hospitality/Travel",,D,
639,14,15,21206,6,East,Yes,No,No,"Visual Arts
Environmental/Green
Nursing
Community Service
Construction Trades
Electrical/Carpentry",,D,
640,14,15,21229,10,West,Yes,No,No,"Environmental/Green
Custodial
Construction Trades
Communication/Media","Microsoft Word, Powerpoint, Excel",H,
641,18,19,21217,20,West,Yes,No,Yes,"Recreation And Sports
Computer Information Tech
Communication/Media",,B,
642,14,21,21252,21,Outside City (North),No,Yes,No,"Visual Arts
Nursing
Culinary Arts/Food Service
Custodial
Clerical Office Work
Legal","Visual Arts (Drawing, painting, etc)
Microsoft Word, Powerpoint, Excel",E,
643,14,19,21206,10,East,Yes,No,No,"Recreation And Sports
Hospitality/Travel
Retail (17+ Year Old Only)
Electrical/Carpentry",,D,
644,16,18,21201,10,Downtown,No,No,No,"Recreation And Sports
Custodial
STEM",,F,
645,16,18,21201,12,Downtown,Yes,No,No,"Recreation And Sports
Business/Finance
Environmental/Green
Nursing
Community Service
Legal
Hospitality/Travel",Swimming,D,
646,15,18,21229,5,West,No,No,No,"Teacher's Aide
Camp Counselor
Government/Public Service
Community Service
STEM
Hospitality/Travel",,B,
647,14,15,21201,7,Downtown,No,No,Yes,"Government/Public Service
Community Service
Computer Information Tech",,H,
648,18,20,21214,6,East,Yes,No,Yes,"Recreation And Sports
Business/Finance
Computer Information Tech
Custodial","Microsoft Word, Powerpoint, Excel",C,
649,16,18,21163,1,Outside City (West),No,No,No,"Pre-School Childcare
Camp Counselor",,D,
